build,ht,year,long,cont
Gobekli Tepe,6,-9500,1500,Asia
Tower of Jericho,8.5,-8000,4000,Asia
Anu Ziggurat Uruk,13,-4000,1350,Asia
Pyramid of Djoser,62.5,-2650,40,Africa
Meidum Pyramid,91.65,-2610,5,Africa
Bent Pyramid,101.1,-2600,10,Africa
Red Pyramid,104,-2590,30,Africa
Great Pyramid of Giza,146.6,-2560,3811,Africa
Old St Pauls Cathedral,149,1240,71,Europe
Lincoln Cathedral,160,1311,238,Europe
St Marys Church Stralsund,151,1549,20,Europe
Beauvais Cathedral,153,1569,4,Europe
Strasbourg Cathedral,142,1439,227,Europe
St Nikolai Church Hamburg,147,1874,2,Europe
Rouen Cathedral,151,1876,4,Europe
Cologne Cathedral,157,1880,4,Europe
Washington Monument,169,1884,5,North America
Eiffel Tower,300,1889,41,Europe
Chrysler Building,319,1930,1,North America
Empire State Building,381,1931,36,North America
Ostankino Tower,540,1967,43,Europe
Burj Khalifa,828,2010,16,Asia
